FID,Name_Commo,DBH_inches,CommonName,DBHLastUpd,Mapid_,TreeHeight,CrownWidth,WoodCondit,FoliageCon,HazardTree,Removal,OverRoador,Against_Ov,PruningNee,Structura2,LightningP,Lightning2,AirSpadeNe,AirSpadeDo,NextRootCo,FertilizeN,FertilizeD,SpecialSta,Pests,DateofPlan,SizeatPlan,SourceofTr,FundingBy_,Wilt_Pruf,TrunkWrap,DateRemove,DBHatRemov,ReasonForR,Photo1,Photo2,Photo3,Notes,POINT_X,POINT_Y
0,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641327.4778,1453183.507
1,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641328.8852,1453210.437
2,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641314.4508,1453206.822
3,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641308.635,1453181.724
4,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641297.8789,1453188.523
5,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641294.6415,1453195.698
6,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641290.315,1453202.588
7,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641292.6043,1453189.98
8,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641291.9586,1453186.859
9,Eastern Cottonwood,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641302.3982,1453152.629
10,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641277.0624,1453199.01
11,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641274.9778,1453185.233
12,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641254.4403,1453202.562
13,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641253.2862,1453197.991
14,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641246.0783,1453204.758
15,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641245.9235,1453202.265
16,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641220.6636,1453182.398
17,Eastern Cottonwood,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641245.0226,1453159.31
18,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641243.6672,1453148.402
19,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641246.5505,1453137.675
20,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641297.8865,1453105.42
21,Boxelder,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641298.5392,1453101.47
22,Canadian Hemlock,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641330.6147,1453082.896
23,Canadian Hemlock,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641337.4082,1453072.466
24,Canadian Hemlock,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641349.4622,1453066.943
25,Boxelder,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641332.7863,1453065.762
26,Boxelder,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641343.0585,1453053.208
27,Boxelder,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641343.8451,1453054.285
28,Canadian Hemlock,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641365.0747,1453043.085
29,Boxelder,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641353.1177,1453042.872
30,Canadian Hemlock,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641384.2641,1453040.405
31,Canadian Hemlock,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641382.3218,1453025.202
32,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641410.2373,1453018.651
33,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641412.0992,1453016.329
34,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641407.6827,1453009.789
35,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641414.024,1453009.535
36,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641422.9263,1453007.676
37,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641430.7482,1452986.947
38,Blue Spruce,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641410.2645,1453104.796
39,White Oak,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646558.1839,1452610.416
40,White Oak,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646555.6072,1452645.552
41,Austrian Pine,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646496.0056,1452725.362
42,Pin Oak,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646493.3388,1452738.742
43,Austrian Pine,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646496.5773,1452717.981
44,Austrian Pine,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646495.6606,1452709.486
45,Pin Oak,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646494.3648,1452699.449
46,Austrian Pine,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646495.1837,1452685.625
47,Austrian Pine,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646492.1175,1452665.798
48,White Oak,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646502.2861,1452647.639
49,Crabapple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646480.3622,1452797.987
50,Red Mulberry,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646486.0753,1452808.443
51,Austrian Pine,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646491.8322,1452818.728
52,Austrian Pine,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646494.1336,1452850.082
53,Austrian Pine,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646493.4374,1452864.876
54,Austrian Pine,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646488.08,1452857.617
55,Austrian Pine,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646472.6714,1452860.52
56,Austrian Pine,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646480.6965,1452862.469
57,Austrian Pine,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646486.4597,1452862.861
58,Austrian Pine,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646493.5956,1452804.233
59,Austrian Pine,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646499.0693,1452810.119
60,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646495.3317,1452791.656
61,Red Mulberry,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646502.853,1452799.14
62,Red Oak,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646498.9704,1452793.157
63,Norway Maple,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646497.4612,1452778.951
64,Black Cherry,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646494.9967,1452773.889
65,Red Oak,0, ,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646508.0846,1452769.599
66,White Oak,0, ,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646592.865,1452792.513
67,Red Oak,0, ,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646578.0693,1452745.913
68,Norway Maple,0, ,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646516.6969,1452796.324
69,Red Oak,0, ,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646516.1573,1452774.63
70,American Elm,0, ,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646516.7293,1452766.64
71,Red Oak,0, ,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646517.4042,1452763.486
72,White Oak,0, ,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646565.7628,1452875.191
73,Austrian Pine,0, ,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646610.4386,1452870.3
74,Crabapple,0, ,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646615.9815,1452879.671
75,Pin Oak,0, ,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646626.6848,1452869.001
76,Austrian Pine,0, ,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646631.9882,1452866.072
77,Austrian Pine,0, ,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646636.3755,1452872.614
78,Flowering Dogwood,0, ,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646647.4722,1452881.676
79,Austrian Pine,0, ,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646698.2399,1452867.893
80,Crabapple,0, ,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646704.7875,1452886.097
