FID,Name_Common,DBH_inches,CommonName,DBHLastUpd,Mapid_,TreeHeight,CrownWidth,WoodCondit,FoliageCon,HazardTree,Removal,OverRoador,Against_Ov,PruningNee,Structura2,LightningP,Lightning2,AirSpadeNe,AirSpadeDo,NextRootCo,FertilizeN,FertilizeD,SpecialSta,Pests,DateofPlan,SizeatPlan,SourceofTr,FundingBy_,Wilt_Pruf (deprecated),TrunkWrap,DateRemove,DBHatRemov,ReasonForR,Photo1,Photo2,Photo3,Notes,POINT_X,POINT_Y
0,Norway Maple,0 (two decimals),provision for new species not already on the list,2013-01-10,0 (from old inventory),"0 (one decimal, feet)","0 (one decimal, feet)","0,1,2,3 (0 dead and 3 healthy)","0,1,2,3 (0 dead and 3 healthy)",No,discuss or approved,No sidewalk,No building,clean,yes or no,No,No,No,text data to log the work,date that indicates check back,No,text data that logs the work,text that indicates the tree's special status,text data that indicates the insect/disease presents,date when the tree was planted,"number in inches, reserved to one decimal (caliper = 6 inches above grade)",where the tree was purchased from,who purchased the tree,No,No,date when the tree was cut down,"0 (inches, two decimals)",insect,"hyperlink (hyperlink folder in Windows format), overview",(Internet),diameter measure of the tree,"space for text, whatever",641327.4778,1453183.507
1,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No,structural, ,No,No,No, ,,No, , , ,, , , ,No,No,,0,disease, , , , ,641328.8852,1453210.437
2,Norway Maple,0,,2013-01-10,0,0,0, , ,No,,No,No,raise, ,No,No,No, ,,No, , , ,, , , ,No,No,,0,construction, , , , ,641314.4508,1453206.822
3,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No,ornamental, ,No,No,No, ,,No, , , ,, , , ,No,No,,0,vandalism, , , , ,641308.635,1453181.724
4,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No,reduction, ,No,No,No, ,,No, , , ,, , , ,No,No,,0,thinning area, , , , ,641297.8789,1453188.523
5,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No,restoration, ,No,No,No, ,,No, , , ,, , , ,No,No,,0,structural problems, , , , ,641294.6415,1453195.698
6,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No,other, ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641290.315,1453202.588
7,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641292.6043,1453189.98
8,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641291.9586,1453186.859
9,Eastern Cottonwood,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641302.3982,1453152.629
10,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641277.0624,1453199.01
11,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641274.9778,1453185.233
12,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641254.4403,1453202.562
13,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641253.2862,1453197.991
14,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641246.0783,1453204.758
15,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641245.9235,1453202.265
16,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641220.6636,1453182.398
17,Eastern Cottonwood,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641245.0226,1453159.31
18,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641243.6672,1453148.402
