Genus[7][8][b],Meaning or derivation,Family[4],Order[4],C,G
Abeliophyllum,Abelia-like leaves,Oleaceae,Lamiales,C,G
Abelmoschus,from Arabic for musky (the seeds),Malvaceae,Malvales,C,
Abies,Latin: rising. Latin name.[c],Pinaceae,Pinales,C,G
Abobra,Brazilian name,Cucurbitaceae,Cucurbitales,,G
Abroma,inedible,Malvaceae,Malvales,,G
Abronia,dainty (the bracts),Nyctaginaceae,Caryophyllales,,G
Abrophyllum,dainty leaves,Rousseaceae,Asterales,,G
Abrus,from an Arabic name or Greek,Fabaceae,Fabales,,G
Abutilon,Arabic name,Malvaceae,Malvales,C,G
Acacia,sharp tips. Greek name.,Fabaceae,Fabales,C,G
Acaena,thorns,Rosaceae,Rosales,C,G
Acalypha,Greek name,Euphorbiaceae,Malpighiales,C,G
Acampe,unbending (the flowers or stems),Orchidaceae,Asparagales,,
Acanthocereus,thorn-Cereus,Cactaceae,Caryophyllales,,
Acantholimon,thorn-Limonium,Plumbaginaceae,Caryophyllales,,G
Acanthophoenix,thorn-Phoenix,Arecaceae,Arecales,,
Acanthostachys,thorn spike (the bracts),Bromeliaceae,Poales,,
Acanthus,thorns[4],Acanthaceae,Lamiales,C,G
Acca,Peruvian name,Myrtaceae,Myrtales,C,
Acer,Latin name,Sapindaceae,Sapindales,C,G
Achillea,Achilles of mythology,Asteraceae,Asterales,C,G
Achimenes,unknown,Gesneriaceae,Lamiales,C,G
Achlys,Achlys of mythology,Berberidaceae,Ranunculales,C,G
Acineta,motionless (the lips),Orchidaceae,Asparagales,,
Ackama,Māori name,Cunoniaceae,Oxalidales,,
Acokanthera,sharp-tipped anthers,Apocynaceae,Gentianales,,G
Aconitum,Greek name,Ranunculaceae,Ranunculales,C,G
Acorus,Latin name[4],Acoraceae,Acorales,C,G
Acrocomia,top lock of hair (the leaves),Arecaceae,Arecales,,
Acronychia,end claw (on the petals),Rutaceae,Sapindales,,
Acrophyllum,end leaves,Cunoniaceae,Oxalidales,,
Actaea,Greek and Latin name,Ranunculaceae,Ranunculales,C,G
Actinidia,radiating (the styles)[4],Actinidiaceae,Ericales,C,G
Actinotus,radiating (the bracts),Apiaceae,Apiales,,G
Adenandra,glandular male parts,Rutaceae,Sapindales,,
Adenanthera,glandular anthers,Fabaceae,Fabales,,
Adenium,Arabic name,Passifloraceae,Malpighiales,,G
Adenocarpus,glandular (sticky) fruit,Fabaceae,Fabales,,G
Adenostoma,glandular mouth (the calyx),Rosaceae,Rosales,,
Adonis,Adonis of mythology,Ranunculaceae,Ranunculales,C,G
Adoxa,without stature[4],Adoxaceae,Dipsacales,,G
Aechmea,pointed (the calyx),Bromeliaceae,Poales,,G
Aegilops,Greek name,Poaceae,Poales,,G
Aegle,"Aegle, a Naiad of mythology",Rutaceae,Sapindales,,G
Aegopodium,goat's foot (the leaves),Apiaceae,Apiales,C,G
Aeonium,Latin name,Crassulaceae,Saxifragales,C,G
Aerangis,air cups,Orchidaceae,Asparagales,,G
Aeranthes,air flowers,Orchidaceae,Asparagales,,G
Aerides,air,Orchidaceae,Asparagales,,G
Aerva,Arabic name,Amaranthaceae,Caryophyllales,,
Aeschynanthus,blushing flowers,Gesneriaceae,Lamiales,,G
Aesculus,Latin name,Sapindaceae,Sapindales,C,G
Aethionema,odd filament (the stamens),Brassicaceae,Brassicales,C,G
Aframomum,African Amomum,Zingiberaceae,Zingiberales,,G
Agalmyla,glory of the forest,Gesneriaceae,Lamiales,,
Aganisia,gentleness,Orchidaceae,Asparagales,,
Aganosma,gentle scent,Apocynaceae,Gentianales,,
Agapanthus,love flowers,Amaryllidaceae,Asparagales,C,G
Agapetes,loved ones,Ericaceae,Ericales,,G
Agastache,remarkable or plentiful (flower) spikes,Lamiaceae,Lamiales,C,G
Agathis,ball of thread (the catkins),Araucariaceae,Pinales,C,G
Agathosma,good scent,Rutaceae,Sapindales,,G
Agave,praiseworthy (the flowers),Asparagaceae,Asparagales,C,G
Ageratum,never-aging (the flowers),Asteraceae,Asterales,C,G
Aglaia,Aglaea of mythology,Meliaceae,Sapindales,,
Aglaonema,shining thread (the stamens),Araceae,Alismatales,C,G
Agonis,congregation (the seeds),Myrtaceae,Myrtales,,
Agrimonia,Greek name,Rosaceae,Rosales,,G
Agrostemma,field wreaths,Caryophyllaceae,Caryophyllales,C,G
Agrostis,Greek name,Poaceae,Poales,,G
Aichryson,ever-gold. Greek name.,Crassulaceae,Saxifragales,C,G
Ailanthus,Moluccan name,Simaroubaceae,Sapindales,C,G
Aiphanes,ragged (the leaves) or ever-shining (the flowers),Arecaceae,Arecales,,G
Aira,Greek name,Poaceae,Poales,,G
Ajuga,Latin name,Lamiaceae,Lamiales,C,G
Akebia,Japanese name,Lardizabalaceae,Ranunculales,C,G
Alangium,Keralan name,Cornaceae,Cornales,,G
Alcea,Greek and Latin name,Malvaceae,Malvales,C,G
Alchemilla,Arabic name,Rosaceae,Rosales,C,G
Aletris,meal-grinder (they are powdery),Nartheciaceae,Dioscoreales,,G
Aleurites,floury (they are sometimes powdery),Euphorbiaceae,Malpighiales,,G
Alisma,Greek name[4],Alismataceae,Alismatales,C,G
Alkanna,Arabic name,Boraginaceae,Boraginales,,G
Allium,Latin name,Amaryllidaceae,Asparagales,C,G
Alloplectus,diverse weaving (the overlapping sepals),Gesneriaceae,Lamiales,,
Alnus,Latin name,Betulaceae,Fagales,C,G
Alocasia,separate from Colocasia,Araceae,Alismatales,C,G
Aloe,Arabic name,Asphodelaceae,Asparagales,C,G
Aloinopsis,like Aloe,Aizoaceae,Caryophyllales,,G
Alopecurus,fox tails (the grass),Poaceae,Poales,,G
Alphitonia,mealy (the fruit),Rhamnaceae,Rosales,,
Alseuosmia,grove scent[4],Alseuosmiaceae,Asterales,,G
Alternanthera,Latin: alternating anthers (are fertile),Amaranthaceae,Caryophyllales,C,G
Althaea,Greek name,Malvaceae,Malvales,C,G
Alyssum,Latin and Greek name,Brassicaceae,Brassicales,C,G
Alyxia,"chain (the fruits), possibly",Apocynaceae,Gentianales,,
Amaranthus,unfading (long-lasting)[4],Amaranthaceae,Caryophyllales,C,G
Amaryllis,"Amaryllis, a Greek shepherdess from classical poetry[4]",Amaryllidaceae,Asparagales,C,G
Ambrosia,ambrosia,Asteraceae,Asterales,,G
Amelanchier,French name,Rosaceae,Rosales,C,G
Ammi,Greek and Latin name,Apiaceae,Apiales,C,G
Ammobium,sand-living,Asteraceae,Asterales,,G
Ammocharis,sand beauty,Amaryllidaceae,Asparagales,,G
Ammophila,sand-loving,Poaceae,Poales,C,G
Amomum,Greek name,Zingiberaceae,Zingiberales,,G
Amorpha,deformed (the corollas),Fabaceae,Fabales,C,G
Amorphophallus,deformed phallus,Araceae,Alismatales,C,G
Ampelopsis,vine-like,Vitaceae,Vitales,C,G
Anacampseros,Greek name[4],Anacamp­serotaceae,Caryophyllales,,G
Anacamptis,bending back (possibly the orchid's spur),Orchidaceae,Asparagales,,G
Anacardium,Greek name[4],Anacardiaceae,Sapindales,,G
Anacyclus,flowerless circle (the corollas),Asteraceae,Asterales,C,G
Anagyris,Greek and Latin name,Fabaceae,Fabales,,G
Ananas,Tupi (South American) name,Bromeliaceae,Poales,C,G
Anaphalis,Greek name,Asteraceae,Asterales,C,G
Anastatica,resurrection (it recovers quickly from drought),Brassicaceae,Brassicales,,G
Anchusa,Greek and Latin name,Boraginaceae,Boraginales,C,G
Andira,Brazilian name,Fabaceae,Fabales,,G
Andrachne,Greek name,Phyllanthaceae,Malpighiales,,G
Andromeda,Andromeda of mythology,Ericaceae,Ericales,C,G
Andropogon,man beard (the spikelets),Poaceae,Poales,C,G
Androsace,Greek name,Primulaceae,Ericales,C,G
Androstephium,male-parts crown (the stamens),Asparagaceae,Asparagales,,
Anemarrhena,without filaments (the stamens),Asparagaceae,Asparagales,,G
Anemone,blood-red,Ranunculaceae,Ranunculales,C,G
Anemonopsis,like Anemone,Ranunculaceae,Ranunculales,C,G
Anemopaegma,windy playfulness,Bignoniaceae,Lamiales,,G
Anemopsis,like Anemone,Saururaceae,Piperales,C,
Anethum,Greek name,Apiaceae,Apiales,C,G
Angelica,Latin: angelic,Apiaceae,Apiales,C,G
Angelonia,South American name,Plantaginaceae,Lamiales,C,G
Angophora,vessel-bearing (fruit-bearing),Myrtaceae,Myrtales,,
Angraecum,Malay name,Orchidaceae,Asparagales,C,G
Ania,troublesome (maybe taxonomically),Orchidaceae,Asparagales,,
Anigozanthos,"wide-open flowers, perhaps",Haemodoraceae,Commelinales,,G
Anisotome,jagged (the leaves),Apiaceae,Apiales,,G
Annona,Taíno name[4],Annonaceae,Magnoliales,,G
Anoda,perhaps a Sinhalese name,Malvaceae,Malvales,,G
Anoectochilus,open lips,Orchidaceae,Asparagales,,
Anredera,unclear,Basellaceae,Caryophyllales,,
Antennaria,Latin: antenna-like (the bristles),Asteraceae,Asterales,C,G
Anthemis,Greek name,Asteraceae,Asterales,C,G
Anthericum,Greek name,Asparagaceae,Asparagales,C,G
Anthoxanthum,flowers of yellow,Poaceae,Poales,C,G
Anthriscus,Greek name,Apiaceae,Apiales,C,G
Anthurium,flower tail (the spikes),Araceae,Alismatales,C,G
Anthyllis,Greek name,Fabaceae,Fabales,C,G
Antiaris,Javanese derivation,Moraceae,Rosales,,G
Antidesma,unclear,Phyllanthaceae,Malpighiales,,G
Antigonon,perhaps angled or zig-zag,Polygonaceae,Caryophyllales,,G
Antirrhinum,nearly a nose (the flowers),Plantaginaceae,Lamiales,C,G
Anubias,Anubis,Araceae,Alismatales,,G
Aotus,earless (the simple calyx),Fabaceae,Fabales,,
Aphanostephus,inconspicuous adornment (the flower heads),Asteraceae,Asterales,,
Aphelandra,simple male part (the anthers),Acanthaceae,Lamiales,C,G
Aphyllanthes,"leafless flower (the long, bare stalks)",Asparagaceae,Asparagales,,G
Apios,pear (the shape of the tubers),Fabaceae,Fabales,C,G
Apium,Latin name[4],Apiaceae,Apiales,C,G
Aplectrum,spurless (the orchid flowers),Orchidaceae,Asparagales,,
Apocynum,Greek name[4],Apocynaceae,Gentianales,,G
Aponogeton,near (hot springs at) Abano Terme[4],Aponogetonaceae,Alismatales,,G
Aptenia,wingless (the capsules),Aizoaceae,Caryophyllales,,G
Aquilegia,eagle,Ranunculaceae,Ranunculales,C,G
Arabidopsis,like Arabis,Brassicaceae,Brassicales,,G
Arabis,Arabian,Brassicaceae,Brassicales,C,G
Arachis,Greek name,Fabaceae,Fabales,,G
Aralia,French-Canadian name[4],Araliaceae,Apiales,C,G
Araucaria,Araucanos (now Mapuche),Araucariaceae,Pinales,C,G
Arbutus,Latin name,Ericaceae,Ericales,C,G
Archonto­phoenix,lordly palm,Arecaceae,Arecales,,G
Arctium,Greek and Latin name,Asteraceae,Asterales,,G
Arctostaphylos,bear grapes,Ericaceae,Ericales,C,G
