,Genus,Meaning or derivation,Family,Order,C,G
0,Abeliophyllum,Abelia-like leaves,Oleaceae,Lamiales,C,G
1,Abelmoschus,from Arabic for musky (the seeds),Malvaceae,Malvales,C,
2,Abies,Latin: rising. Latin name.[c],Pinaceae,Pinales,C,G
3,Abobra,Brazilian name,Cucurbitaceae,Cucurbitales,,G
4,Abroma,inedible,Malvaceae,Malvales,,G
5,Abronia,dainty (the bracts),Nyctaginaceae,Caryophyllales,,G
6,Abrophyllum,dainty leaves,Rousseaceae,Asterales,,G
7,Abrus,from an Arabic name or Greek,Fabaceae,Fabales,,G
8,Abutilon,Arabic name,Malvaceae,Malvales,C,G
9,Acacia,sharp tips. Greek name.,Fabaceae,Fabales,C,G
10,Acaena,thorns,Rosaceae,Rosales,C,G
11,Acalypha,Greek name,Euphorbiaceae,Malpighiales,C,G
12,Acampe,unbending (the flowers or stems),Orchidaceae,Asparagales,,
13,Acanthocereus,thorn-Cereus,Cactaceae,Caryophyllales,,
14,Acantholimon,thorn-Limonium,Plumbaginaceae,Caryophyllales,,G
15,Acanthophoenix,thorn-Phoenix,Arecaceae,Arecales,,
16,Acanthostachys,thorn spike (the bracts),Bromeliaceae,Poales,,
17,Acanthus,thorns[4],Acanthaceae,Lamiales,C,G
18,Acca,Peruvian name,Myrtaceae,Myrtales,C,
19,Acer,Latin name,Sapindaceae,Sapindales,C,G
20,Achillea,Achilles of mythology,Asteraceae,Asterales,C,G
21,Achimenes,unknown,Gesneriaceae,Lamiales,C,G
22,Achlys,Achlys of mythology,Berberidaceae,Ranunculales,C,G
23,Acineta,motionless (the lips),Orchidaceae,Asparagales,,
24,Ackama,Māori name,Cunoniaceae,Oxalidales,,
25,Acokanthera,sharp-tipped anthers,Apocynaceae,Gentianales,,G
26,Aconitum,Greek name,Ranunculaceae,Ranunculales,C,G
27,Acorus,Latin name[4],Acoraceae,Acorales,C,G
28,Acrocomia,top lock of hair (the leaves),Arecaceae,Arecales,,
