Genus[7][8][b],Meaning or derivation,Family[4],Order[4],C,G
Dacrydium,teardrop (the resin),Podocarpaceae,Pinales,C,G
Dactylis,Greek and Latin name[c],Poaceae,Poales,C,G
Dactylorhiza,finger root (the tubers),Orchidaceae,Asparagales,C,
Daemonorops,demon shrub (the sharp hooks),Arecaceae,Arecales,,G
Dais,torch (the flower heads),Thymelaeaceae,Malvales,,G
Damasonium,Greek name,Alismataceae,Alismatales,,G
Danae,Danaë,Asparagaceae,Asparagales,C,G
Daphne,Daphne,Thymelaeaceae,Malvales,C,G
Daphniphyllum,leaves like Daphne[4],Daphniphyllaceae,Saxifragales,C,G
Dasylirion,thick lily,Asparagaceae,Asparagales,C,G
Datisca,Greek and Latin name[4],Datiscaceae,Cucurbitales,C,G
Datura,Sanskrit and Arabic name,Solanaceae,Solanales,C,G
Daucus,Latin name,Apiaceae,Apiales,C,G
Decodon,ten teeth (on the calyx),Lythraceae,Myrtales,,G
Decumaria,ten (flower parts),Hydrangeaceae,Cornales,C,G
Deinanthe,amazing flowers,Hydrangeaceae,Cornales,,G
Delonix,prominent claw (on the petals),Fabaceae,Fabales,,G
Delosperma,visible seeds (inside the capsule),Aizoaceae,Caryophyllales,C,G
Delostoma,visible mouth (the open flowers),Bignoniaceae,Lamiales,,G
Delphinium,Greek name,Ranunculaceae,Ranunculales,C,G
Dendrobium,tree life (growing on trees),Orchidaceae,Asparagales,,G
Dendrocalamus,tree reed,Poaceae,Poales,,G
Dendrochilum,tree lips,Orchidaceae,Asparagales,,G
Dendromecon,tree poppy,Papaveraceae,Ranunculales,C,G
Dendropanax,tree Panax,Araliaceae,Apiales,,G
Denmoza,"anagram of Mendoza, a province of Argentina",Cactaceae,Caryophyllales,,
Derris,leather covering (the seed pods),Fabaceae,Fabales,,
Desmanthus,bundled flower (the clusters),Fabaceae,Fabales,C,G
Desmodium,chain (the fruit),Fabaceae,Fabales,C,G
Desmoncus,chain hook (the leaf tips),Arecaceae,Arecales,,G
Dianella,little Diana,Asphodelaceae,Asparagales,C,G
Dianthus,Greek name,Caryophyllaceae,Caryophyllales,C,G
Diapensia,Greek name[4],Diapensiaceae,Ericales,,G
Diascia,two sacs (on the flowers),Scrophulariaceae,Lamiales,C,G
Dicentra,two spurs (on the flowers),Papaveraceae,Ranunculales,C,G
Dichondra,two lumps (the capsules),Convolvulaceae,Solanales,,G
Dichorisandra,two separate male parts (the two stamens that diverge),Commelinaceae,Commelinales,,G
Dichroa,two colours (the flowers),Hydrangeaceae,Cornales,C,G
Dicliptera,double-folding wings (within the capsules),Acanthaceae,Lamiales,C,G
Dicranostigma,forked stigmas,Papaveraceae,Ranunculales,,G
Dictamnus,Greek name,Rutaceae,Sapindales,C,G
Dictyosperma,net seeds,Arecaceae,Arecales,,G
Didymocarpus,double fruit (the separable capsule),Gesneriaceae,Lamiales,,G
Dierama,funnel (the flowers),Iridaceae,Asparagales,C,G
Digitalis,derived from Latin: finger (the flowers),Plantaginaceae,Lamiales,C,G
Dimorphotheca,two shapes of containers (the achenes),Asteraceae,Asterales,,G
Dionaea,Dione,Droseraceae,Caryophyllales,C,G
Dioon,two-egged (the pairs of seeds),Zamiaceae,Cycadales,,G
Diosma,divine scent,Rutaceae,Sapindales,,G
Diospyros,Greek name,Ebenaceae,Ericales,C,G
Dipcadi,Turkish name,Asparagaceae,Asparagales,,G
Diphylleia,two leaves,Berberidaceae,Ranunculales,,G
Diplarrena,two male parts (the fertile stamens). Previously Diplarrhena.,Iridaceae,Asparagales,C,G
Diploglottis,double-tongued (petal scales),Sapindaceae,Sapindales,,
Dipsacus,thirst (some leaves collect water),Caprifoliaceae,Dipsacales,C,G
Dipteronia,two-winged (fruit),Sapindaceae,Sapindales,,G
Dirca,fountain of Dirce (the wet habitats),Thymelaeaceae,Malvales,,G
Disa,Disa,Orchidaceae,Asparagales,,G
Disanthus,paired flowers,Hamamelidaceae,Saxifragales,C,G
Discaria,disc (on the flowers),Rhamnaceae,Rosales,,G
Discocactus,disc cactus,Cactaceae,Caryophyllales,,
Disocactus,co-equal cactus (there are as many sepals as petals),Cactaceae,Caryophyllales,,
Disporum,two seeds,Colchicaceae,Liliales,C,G
Distylium,two styles,Hamamelidaceae,Saxifragales,,G
Diuris,two tails (the two longest sepals),Orchidaceae,Asparagales,,G
Docynia,anagram of Cydonia,Rosaceae,Rosales,,G
Dolichandra,long male parts,Bignoniaceae,Lamiales,,
Dolichos,Greek and Latin name,Fabaceae,Fabales,,G
Donax,Greek and Latin name,Marantaceae,Zingiberales,,G
Doronicum,Arabic name,Asteraceae,Asterales,C,G
Doryanthes,spear (-stemmed) flowers[4],Doryanthaceae,Asparagales,,G
Dovyalis,(unclear),Salicaceae,Malpighiales,,
Draba,Greek name,Brassicaceae,Brassicales,,G
Dracaena,dragon,Asparagaceae,Asparagales,C,G
Dracocephalum,dragon head (the flowers),Lamiaceae,Lamiales,,G
Dracula,little dragon,Orchidaceae,Asparagales,,G
Dracunculus,little dragon (the spathe). Latin name.,Araceae,Alismatales,C,G
Drimia,pungent,Asparagaceae,Asparagales,,G
Drimiopsis,like Drimia,Asparagaceae,Asparagales,,G
Drimys,pungent,Winteraceae,Canellales,C,G
Drosanthemum,dew flowers,Aizoaceae,Caryophyllales,,G
Drosera,dew (the secretions)[4],Droseraceae,Caryophyllales,,G
Dryas,dryad,Rosaceae,Rosales,C,G
Drypis,Greek name,Caryophyllaceae,Caryophyllales,,G
Durio,Malayan name,Malvaceae,Malvales,,G
Dyschoriste,"hard to separate, or hardly separated",Acanthaceae,Lamiales,,G
Dysosma,bad smell,Berberidaceae,Ranunculales,C,
Dysoxylum,bad wood (the smell),Meliaceae,Sapindales,,
Ebenus,Greek and Latin name[4],Fabaceae,Fabales,,G
Ecballium,ejection (the ripe seeds are forcefully ejected),Cucurbitaceae,Cucurbitales,,G
Eccremocarpus,hanging fruit,Bignoniaceae,Lamiales,C,G
Echidnopsis,viper-like (the stems),Apocynaceae,Gentianales,,
Echinacea,hedgehog (the spiny scales)[d],Asteraceae,Asterales,C,G
Echinocactus,hedgehog cactus,Cactaceae,Caryophyllales,,G
Echinocereus,hedgehog Cereus (the spiny fruit),Cactaceae,Caryophyllales,,G
Echinochloa,hedgehog grass,Poaceae,Poales,,G
Echinocystis,hedgehog bladder (the fruit),Cucurbitaceae,Cucurbitales,,
Echinodorus,hedgehog bag or spear,Alismataceae,Alismatales,,G
