Genus[7][8][9][b],Meaning or derivation,Family[4],Order[4],C,G
Laburnum,Latin name[c],Fabaceae,Fabales,C,G
Lachnanthes,woolly flowers,Haemodoraceae,Commelinales,,
Lactuca,Latin: milky (the sap),Asteraceae,Asterales,C,G
Lagarosiphon,narrow tubes,Hydrocharitaceae,Alismatales,,G
Lagenandra,flask-like male parts (the anthers),Araceae,Alismatales,,
Lagenaria,flask-like (the fruits),Cucurbitaceae,Cucurbitales,,G
Lagotis,rabbit ears,Plantaginaceae,Lamiales,,G
Lagurus,rabbit tail (the inflorescences),Poaceae,Poales,,G
Lamium,Open mouth (the flowers). Latin name.[4],Lamiaceae,Lamiales,C,G
Lampranthus,shining flowers,Aizoaceae,Caryophyllales,,G
Lantana,Medieval Latin name,Verbenaceae,Lamiales,C,G
Larix,Latin name,Pinaceae,Pinales,C,G
Laserpitium,Latin name,Apiaceae,Apiales,,G
Latania,a name from Mauritius,Arecaceae,Arecales,,G
Lathraea,hidden (the parasitic underground stems),Orobanchaceae,Lamiales,,G
Lathyrus,Greek name,Fabaceae,Fabales,C,G
Laurelia,Latinised Spanish name,Athero­spermataceae,Laurales,,G
Laurus,Latin name[4],Lauraceae,Laurales,C,G
Lavandula,Latin: washing (used in soap),Lamiaceae,Lamiales,C,G
Lemna,Greek name,Araceae,Alismatales,,G
Lens,Latin name,Fabaceae,Fabales,,G
Leonotis,lion ears (the flowers),Lamiaceae,Lamiales,C,G
Leontodon,lion teeth (the leaf edges),Asteraceae,Asterales,,G
Leontopodium,lion feet,Asteraceae,Asterales,C,G
Leonurus,lion tails (the inflorescences),Lamiaceae,Lamiales,,G
Lepidium,Greek and Latin name,Brassicaceae,Brassicales,,G
Lepismium,scales (around the areoles),Cactaceae,Caryophyllales,,
Leptodermis,thin skin (the bracteoles),Rubiaceae,Gentianales,,G
Leptopyrum,slender grain (the fruits),Ranunculaceae,Ranunculales,,
Leptospermum,slender seeds,Myrtaceae,Myrtales,C,G
Leptotes,"delicacy (the thin, terete leaves)",Orchidaceae,Asparagales,,G
Leucadendron,white tree (the leaves),Proteaceae,Proteales,,G
Leucaena,white (the flowers),Fabaceae,Fabales,,G
Leucanthemum,white flowers,Asteraceae,Asterales,C,G
Leucheria,white,Asteraceae,Asterales,,G
Leucocoryne,white club (the staminodes),Amaryllidaceae,Asparagales,,G
Leucocrinum,white Crinum,Asparagaceae,Asparagales,,G
Leucojum,white and violet,Amaryllidaceae,Asparagales,C,G
Leucothoe,Greek mythological name,Ericaceae,Ericales,C,G
Levisticum,Latin: (medicinal) relief,Apiaceae,Apiales,C,G
Liatris,uncertain; possibly booty or bald[6],Asteraceae,Asterales,C,G
Libocedrus,teardrop Cedrus (cedar resin),Cupressaceae,Pinales,,G
Licuala,Moluccan name,Arecaceae,Arecales,,G
