Genus[7][8][9][b],Meaning or derivation,Family[4],Order[4],C,G
Quercus,Latin name[c],Fagaceae,Fagales,C,G
Quillaja,Chilean name[4],Quillajaceae,Fabales,,G
Ranunculus,Latin: little frog (some species are aquatic)[4],Ranunculaceae,Ranunculales,C,G
Raphanus,Greek and Latin name,Brassicaceae,Brassicales,C,G
Raphia,needle (the fruit),Arecaceae,Arecales,,G
Ravenala,Malagasy name,Strelitziaceae,Zingiberales,,G
Renanthera,kidney anther (the kidney-shaped pollen-masses),Orchidaceae,Asparagales,,
Reseda,Latin name[4],Resedaceae,Brassicales,,G
Retama,Arabic name,Fabaceae,Fabales,,G
Rhabdothamnus,rod (twiggy) bush,Gesneriaceae,Lamiales,,G
Rhamnus,Greek and Latin name[4],Rhamnaceae,Rosales,C,G
Rhaphidophora,needle-bearing (the fruit),Araceae,Alismatales,,G
Rhaphiolepis,needle scale (the bracteoles). Previously Raphiolepis.,Rosaceae,Rosales,C,G
Rhaphithamnus,needle bush (the spines),Verbenaceae,Lamiales,,G
Rhapidophyllum,needle leaf (the spines at the base),Arecaceae,Arecales,,
Rhapis,needle (the leaf segments),Arecaceae,Arecales,C,G
Rheum,Greek name,Polygonaceae,Caryophyllales,C,G
Rhexia,Latin name,Melastomataceae,Myrtales,,G
Rhipsalis,wicker,Cactaceae,Caryophyllales,,G
Rhodiola,little rose,Crassulaceae,Saxifragales,C,G
Rhodochiton,red cloak (the red calyx),Plantaginaceae,Lamiales,C,G
Rhododendron,rose tree. Greek and Latin name.,Ericaceae,Ericales,C,G
Rhodohypoxis,red Hypoxis,Hypoxidaceae,Asparagales,C,G
Rhodomyrtus,red myrtle,Myrtaceae,Myrtales,,
Rhodospatha,red spathe,Araceae,Alismatales,,
Rhodothamnus,red shrub (the flowers),Ericaceae,Ericales,,G
Rhodotypos,rose type (the flowers),Rosaceae,Rosales,C,G
Rhoicissus,"sumac ivy, probably",Vitaceae,Vitales,,G
Rhombophyllum,rhombus or lozenge leaves[8],Aizoaceae,Caryophyllales,,G
Rhopalostylis,club pillar (the spadix),Arecaceae,Arecales,,G
Rhus,Greek and Latin name,Anacardiaceae,Sapindales,C,G
Rhynchelytrum,beak husk (on the flowers),Poaceae,Poales,,G
Rhynchosia,beak (the lower petals),Fabaceae,Fabales,,G
Rhynchostylis,beak pillar (the column of the flowers),Orchidaceae,Asparagales,,
Ribes,Arabic: acidic (the fruit). Arabic name.,Grossulariaceae,Saxifragales,C,G
Ricinus,Latin: tick (the seeds),Euphorbiaceae,Malpighiales,C,G
Ripogonum,wicker knees (the many joints on the tangled stalks). Previously Rhipogonum.[4],Ripogonaceae,Liliales,,G
Romulea,Romulus,Iridaceae,Asparagales,,G
Rorippa,German name,Brassicaceae,Brassicales,,G
Rosa,Latin name[4],Rosaceae,Rosales,C,G
Rotala,wheel-like (the whorls of leaves),Lythraceae,Myrtales,,
Roupala,Guyanese name,Proteaceae,Proteales,,
Rubia,"Latin: red (the roots, used in dyeing)[4]",Rubiaceae,Gentianales,,G
Rubus,Latin name,Rosaceae,Rosales,C,G
Rumex,Latin name,Polygonaceae,Caryophyllales,C,G
Ruscus,Latin name,Asparagaceae,Asparagales,C,G
Ruta,Latin name[4],Rutaceae,Sapindales,C,G
Sabal,a South American name,Arecaceae,Arecales,,G
Saccharum,sugar,Poaceae,Poales,C,G
Saccolabium,baggy lip,Orchidaceae,Asparagales,,
Sagina,Latin: fodder,Caryophyllaceae,Caryophyllales,C,G
Sagittaria,arrow (the leaves),Alismataceae,Alismatales,C,G
Salicornia,Latin: salt (-marsh) horn (the branches),Amaranthaceae,Caryophyllales,,G
Salix,Latin name[4],Salicaceae,Malpighiales,C,G
Salpichroa,colourful trumpet (the flowers),Solanaceae,Solanales,,G
Salpiglossis,trumpet tongue (the style),Solanaceae,Solanales,,G
Salsola,Latin: salt (the habitat),Amaranthaceae,Caryophyllales,,G
Salvia,Latin name,Lamiaceae,Lamiales,C,G
Samanea,a South American name,Fabaceae,Fabales,,G
Sambucus,Latin name,Adoxaceae,Dipsacales,C,G
Samolus,Latin name,Primulaceae,Ericales,,G
Sanguinaria,Latin: blood (the sap),Papaveraceae,Ranunculales,C,G
Sanguisorba,Latin: blood-absorbing (the styptic roots),Rosaceae,Rosales,C,G
Santalum,Greek and Latin name[4],Santalaceae,Santalales,,G
Santolina,Latin name,Asteraceae,Asterales,C,G
Sapindus,Latin: soap of India,Sapindaceae,Sapindales,,G
Sapium,Latin name,Euphorbiaceae,Malpighiales,,G
Saponaria,Latin: soap,Caryophyllaceae,Caryophyllales,C,G
Saraca,an East Indian name,Fabaceae,Fabales,,G
Sarcocaulon,fleshy stems,Geraniaceae,Geraniales,,
Sarcochilus,fleshy lips,Orchidaceae,Asparagales,,
Sarcococca,fleshy berries,Buxaceae,Buxales,C,G
Sarcostemma,fleshy garland,Apocynaceae,Gentianales,,G
Sasa,Japanese name,Poaceae,Poales,C,G
Sassafras,Spanish name,Lauraceae,Laurales,,G
Satureja,"Latin name, from Arabic",Lamiaceae,Lamiales,C,G
Sauromatum,lizard,Araceae,Alismatales,,G
Saururus,lizard tail[4],Saururaceae,Piperales,,G
Saxifraga,Latin: stone-breaking[4],Saxifragaceae,Saxifragales,C,G
Scabiosa,itching,Caprifoliaceae,Dipsacales,C,G
Scadoxus,umbel glory,Amaryllidaceae,Asparagales,,G
Schinus,Greek and Latin name,Anacardiaceae,Sapindales,,G
Schisandra,divided male parts (the anthers)[4],Schisandraceae,Austrobaileyales,C,G
Schismatoglottis,divided tongue (the spathes),Araceae,Alismatales,,
Schizanthus,divided flowers,Solanaceae,Solanales,,G
Schizocodon,divided bell (the corollas),Diapensiaceae,Ericales,,
Schizolobium,divided lobe (the pods),Fabaceae,Fabales,,G
